temperature,humidity,soil_moisture,rainfall,irrigation_required
28.38,51.42,45.82,154.03,0
16.49,88.92,33.92,64.09,0
35.37,70.58,34.97,97.38,0
29.86,50.08,36.07,226.0,0
15.18,89.07,61.91,25.14,0
35.61,67.59,67.84,242.9,0
28.46,47.2,36.26,17.33,0
20.39,56.99,75.45,194.53,0
29.26,74.62,34.39,60.04,0
31.14,43.69,27.54,199.19,0
25.14,82.76,16.74,230.24,0
16.98,31.37,49.32,166.38,0
17.89,89.53,47.67,86.67,0
21.15,58.8,40.07,57.07,0
29.89,74.84,51.09,78.59,0
39.5,39.13,49.47,69.37,0
39.45,44.97,18.04,151.31,0
39.57,38.73,32.32,14.35,1
31.02,57.29,10.47,32.38,1
37.11,85.33,31.35,225.17,0
20.57,81.66,43.77,17.4,0
32.12,68.33,86.08,5.56,0
28.62,44.35,85.73,1.64,0
38.0,41.0,45.38,85.88,0
16.9,81.65,20.14,53.42,0
36.77,57.49,23.69,10.92,1
27.84,90.39,58.39,169.29,0
25.9,41.99,71.79,155.99,0
23.5,75.34,19.32,169.26,0
30.2,42.88,46.52,38.48,0
17.78,70.9,32.65,37.88,1
22.45,74.65,33.05,78.86,0
39.42,50.59,68.47,42.46,0
28.22,67.5,59.74,2.54,0
27.77,87.92,67.22,231.82,0
19.25,48.95,19.39,208.6,0
25.88,71.85,43.72,1.41,0
27.54,59.23,83.79,4.27,0
30.94,43.4,66.78,93.78,0
16.08,52.73,44.27,122.05,0
35.75,46.88,84.22,207.03,0
30.07,38.29,22.34,224.05,0
32.15,36.68,52.36,93.69,0
29.82,86.05,56.04,113.52,0
35.03,35.73,45.65,146.24,0
15.07,68.29,80.81,22.64,0
36.05,58.05,48.73,130.07,0
28.03,45.37,56.32,240.33,0
34.31,94.79,39.5,152.57,0
24.27,33.32,59.33,177.81,0
19.13,48.18,21.19,113.77,0
30.39,47.63,39.64,143.7,0
19.57,30.96,26.28,17.35,1
26.8,72.41,50.55,113.91,0
31.88,70.31,40.15,209.7,0
26.53,89.82,51.87,101.37,0
18.84,94.45,34.06,85.74,0
19.97,91.4,74.69,24.15,0
17.68,62.05,53.91,76.38,0
26.85,87.21,75.72,32.6,0
36.41,89.11,25.42,73.08,0
15.86,72.28,76.41,74.72,0
36.27,45.31,37.19,188.48,0
17.01,83.96,55.95,213.31,0
21.63,84.82,54.6,93.41,0
20.49,33.49,56.66,245.33,0
31.87,42.52,45.94,24.54,0
16.23,75.85,64.85,0.64,0
34.54,91.79,58.27,247.51,0
31.69,44.26,23.91,31.65,1
21.27,82.71,81.49,112.32,0
23.41,61.96,20.74,220.04,0
30.15,33.66,84.18,149.92,0
37.08,91.94,68.45,22.86,0
30.55,64.94,49.16,111.39,0
39.58,68.54,83.45,145.26,0
33.34,62.46,34.68,11.03,1
36.58,50.23,48.15,49.88,0
32.94,85.84,56.37,133.71,0
37.72,64.67,50.74,94.53,0
28.82,58.66,82.08,187.73,0
18.84,83.24,67.91,178.61,0
33.12,82.88,74.54,100.31,0
37.27,84.02,64.05,195.44,0
25.05,31.28,85.76,16.79,0
16.49,91.4,37.19,242.62,0
37.1,34.9,89.96,154.26,0
35.18,53.4,63.17,112.62,0
39.06,70.59,87.4,101.05,0
37.03,81.05,58.25,136.93,0
33.69,74.6,83.28,17.7,0
27.93,34.98,54.75,121.27,0
33.6,79.48,14.94,206.92,0
34.55,84.38,69.36,235.85,0
26.66,89.94,74.27,137.35,0
26.59,75.21,66.44,83.36,0
32.74,47.13,71.48,97.06,0
27.75,67.44,22.08,195.42,0
22.18,63.98,25.68,103.07,0
31.57,92.72,17.86,28.62,1
17.87,85.45,74.57,92.24,0
38.38,39.68,64.58,130.05,0
36.2,92.52,61.98,23.15,0
30.37,83.39,35.46,235.88,0
15.73,57.4,11.49,80.97,0
33.35,82.65,76.4,141.91,0
37.55,72.12,25.44,132.47,0
19.35,42.77,77.86,143.14,0
23.23,77.77,12.75,189.58,0
28.63,77.1,27.42,137.22,0
39.82,31.64,82.98,169.08,0
39.57,33.58,26.06,58.81,0
33.38,83.83,48.69,29.94,0
25.72,75.56,56.74,39.28,0
33.09,50.61,42.67,213.11,0
15.69,67.29,78.79,207.2,0
21.62,94.63,21.86,200.55,0
34.62,54.35,82.1,126.46,0
39.48,78.04,47.22,121.93,0
33.13,61.67,37.52,203.47,0
28.46,74.1,19.7,37.76,1
33.88,90.48,44.67,95.97,0
26.29,48.42,34.34,169.92,0
37.71,60.65,34.7,80.1,0
28.99,77.33,16.26,117.85,0
39.23,40.63,87.26,151.57,0
19.36,92.96,79.62,190.55,0
39.86,79.12,39.99,115.63,0
38.4,77.49,10.29,154.42,0
36.93,82.58,71.61,167.88,0
22.42,51.5,59.23,97.98,0
30.49,53.46,32.72,77.07,0
16.37,38.83,57.1,200.48,0
20.92,53.53,44.58,78.31,0
35.91,30.42,48.64,2.66,0
17.47,39.51,20.55,56.07,0
26.74,82.73,59.96,122.11,0
19.26,66.96,47.97,27.45,0
33.33,87.22,17.84,149.44,0
33.72,47.35,74.52,75.21,0
26.77,39.83,88.19,86.76,0
28.77,87.59,44.41,232.02,0
30.93,46.82,21.74,240.03,0
39.46,90.01,61.18,238.98,0
26.34,51.53,74.33,240.18,0
24.92,67.46,68.8,166.03,0
33.18,88.37,76.15,68.98,0
18.17,94.4,89.98,198.34,0
39.77,50.9,71.23,131.15,0
28.9,87.81,25.32,33.6,1
18.34,38.73,70.58,25.08,0
18.82,89.49,60.33,209.85,0
30.99,89.37,80.87,206.89,0
16.54,36.55,32.12,87.06,0
31.14,37.29,76.38,187.83,0
26.72,71.26,37.93,95.85,0
24.84,93.09,53.1,114.65,0
35.55,42.18,84.37,41.51,0
38.17,66.59,29.81,185.45,0
39.03,46.34,21.3,114.62,0
32.09,80.42,30.52,29.86,1
37.4,35.51,33.88,116.01,0
21.31,59.23,10.93,155.32,0
28.23,68.25,86.84,217.38,0
16.23,67.54,56.46,216.3,0
19.66,46.57,35.43,43.55,0
28.61,62.03,54.63,91.37,0
29.63,47.4,39.2,172.61,0
36.92,72.2,60.71,216.22,0
17.68,61.65,36.57,246.93,0
31.9,55.67,79.06,70.02,0
30.24,50.79,36.88,89.28,0
38.22,81.8,65.37,230.24,0
16.58,73.26,78.04,239.39,0
32.96,44.93,33.28,213.99,0
32.41,35.2,43.6,23.54,0
40.0,72.31,51.82,188.45,0
18.24,82.19,48.86,24.5,0
23.24,63.32,27.0,175.08,0
21.9,92.21,79.02,117.54,0
19.97,85.59,75.58,181.82,0
38.82,86.5,47.07,66.05,0
37.05,54.26,26.47,135.6,0
18.03,71.86,68.63,32.95,0
39.09,59.49,15.65,230.2,0
30.51,72.25,82.97,69.28,0
34.38,38.32,67.96,175.71,0
16.1,40.17,72.55,99.94,0
30.94,56.86,80.76,112.26,0
38.54,30.18,80.07,184.04,0
23.22,31.91,49.56,68.64,0
16.47,75.47,64.89,184.64,0
25.43,86.03,12.1,93.79,0
17.42,67.82,69.03,34.08,0
23.81,40.53,23.87,192.85,0
19.86,80.36,28.89,42.74,1
38.53,53.37,71.51,125.92,0
38.67,67.2,14.46,106.31,0
22.91,32.76,17.13,49.57,1
28.88,73.31,87.06,148.36,0
24.15,88.73,47.18,4.99,0
18.62,74.71,11.01,244.25,0
34.21,42.03,51.91,165.41,0
15.34,57.19,55.26,54.34,0
38.09,56.0,24.52,147.77,0
17.19,52.21,83.76,150.55,0
27.47,54.29,56.55,12.84,0
21.71,41.6,68.69,227.81,0
36.05,53.46,54.95,134.09,0
29.85,87.81,51.68,30.73,0
32.27,37.05,31.27,159.47,0
28.57,49.54,28.89,109.89,0
21.36,69.14,61.07,10.18,0
32.35,77.84,63.5,65.12,0
29.8,49.07,50.02,201.85,0
37.82,72.79,82.68,87.92,0
39.96,38.78,25.61,46.55,1
25.37,93.16,12.68,136.89,0
21.47,94.47,15.59,49.37,1
35.3,55.35,64.93,25.65,0
18.55,43.34,42.47,183.55,0
18.3,79.04,65.85,29.94,0
27.92,43.01,48.67,70.69,0
39.51,53.81,55.07,54.28,0
39.43,51.71,67.87,200.39,0
18.43,40.17,82.96,23.37,0
31.38,56.3,39.34,157.64,0
32.86,71.0,76.19,113.63,0
24.08,74.15,76.82,171.31,0
25.91,41.31,80.86,185.04,0
34.43,51.96,65.1,116.94,0
15.78,72.65,85.6,201.47,0
24.39,88.94,55.91,29.86,0
21.35,43.75,37.77,100.81,0
38.57,56.16,70.75,120.67,0
15.94,56.13,23.69,40.64,1
22.26,82.54,43.74,75.94,0
33.68,49.9,65.63,58.15,0
22.43,41.88,40.5,14.9,0
33.35,66.66,69.29,50.72,0
34.64,59.59,81.55,12.65,0
30.15,63.2,31.12,127.76,0
21.41,52.74,65.34,56.7,0
28.45,78.16,50.1,31.36,0
25.46,66.69,34.29,49.95,1
33.99,76.26,25.34,34.28,1
30.11,84.73,42.0,130.16,0
19.54,69.51,89.73,227.35,0
22.09,49.25,79.29,187.87,0
23.92,34.6,39.96,234.86,0
25.2,56.6,16.89,16.06,1
21.62,59.68,55.19,162.13,0
29.89,47.94,38.85,61.06,0
24.77,51.53,71.43,185.79,0
18.58,85.25,79.66,199.3,0
18.89,91.11,82.0,154.5,0
23.2,46.78,83.27,196.33,0
20.71,64.71,47.38,92.84,0
34.26,76.03,45.17,100.31,0
30.92,94.09,63.03,188.35,0
16.6,59.96,46.46,26.5,0
31.8,57.66,11.3,199.99,0
17.45,48.65,74.28,146.31,0
39.95,71.19,32.1,117.1,0
31.13,63.16,59.08,233.37,0
25.22,58.87,20.85,92.11,0
16.49,54.26,80.42,157.51,0
